hearing_id,statement_index,dom_id,speaker,speaker_type,statement,bill,bill_segment_start,bill_segment_end,ab2222_reference,statement_type,sentence_index,sentence,matched_groups,matched_terms,n_keyword_groups,keyword_match
279175,171,5216838,Sharon Quirk-Silva,Legislator,Just to encourage support for this tax credit that encourages businesses to hire full time employees in designated high need areas.,AB 2222,169,287,False,substantive,1,Just to encourage support for this tax credit that encourages businesses to hire full time employees in designated high need areas.,employment_workforce; tax_credit,employees; hire; full time; tax credit,2,True
279175,172,5216839,Mike Gipson,Legislator,"Thank you very much. This bill will be referred to our suspense file. Thank you, witnesses, for appearing. Thank you. K. We have an author. We have mister Ward file item number two, a B2222. Thank you very much, mister Ward. And you have witnesses, mister Ward?",AB 2222,169,287,True,substantive,7,"We have mister Ward file item number two, a B2222.",bill_reference,a B2222,1,True
279175,175,5216843,Chris Ward,Legislator,"When local news disappears, we see declines in civic engagement, voter participation, and government accountability. And this bill addresses that by directly creating a refundable tax credit for local news organizations, which hire and retain journalists. The structure is straightforward. Up to 20,000 for each of the first five journalists, 15,000, for each additional journalist thereafter, an additional $15,000 for each new journalism position created. Importantly, this credit is refundable.",AB 2222,169,287,False,substantive,1,"When local news disappears, we see declines in civic engagement, voter participation, and government accountability.",local_news; civic_effects,local news; civic engagement; voter participation; government accountability; accountability,2,True
279175,175,5216843,Chris Ward,Legislator,"When local news disappears, we see declines in civic engagement, voter participation, and government accountability. And this bill addresses that by directly creating a refundable tax credit for local news organizations, which hire and retain journalists. The structure is straightforward. Up to 20,000 for each of the first five journalists, 15,000, for each additional journalist thereafter, an additional $15,000 for each new journalism position created. Importantly, this credit is refundable.",AB 2222,169,287,False,substantive,2,"And this bill addresses that by directly creating a refundable tax credit for local news organizations, which hire and retain journalists.",local_news; journalists_reporters; news_organizations; employment_workforce; tax_credit,local news; journalists; news organizations; hire; retain; tax credit; refundable tax credit,5,True
279175,175,5216843,Chris Ward,Legislator,"When local news disappears, we see declines in civic engagement, voter participation, and government accountability. And this bill addresses that by directly creating a refundable tax credit for local news organizations, which hire and retain journalists. The structure is straightforward. Up to 20,000 for each of the first five journalists, 15,000, for each additional journalist thereafter, an additional $15,000 for each new journalism position created. Importantly, this credit is refundable.",AB 2222,169,287,False,substantive,4,"Up to 20,000 for each of the first five journalists, 15,000, for each additional journalist thereafter, an additional $15,000 for each new journalism position created.",journalists_reporters,journalist; journalists; journalism,1,True
279175,176,5216844,Chris Ward,Legislator,"So it works for small independent and non profit outlets, not just large corporations. The bill is also carefully constructed with guardrails, transparency and ownership, limits on political influence, requirements for editorial standards and accountability. And this ensures that we are supporting local journalism without influencing content. With me to speak in support of the Community News Act are Matt Pierce, the legislative director of Rebuild Local News, and Bob Butler, the vice president of broadcast at SYK AFTRA.",AB 2222,169,287,True,substantive,2,"The bill is also carefully constructed with guardrails, transparency and ownership, limits on political influence, requirements for editorial standards and accountability.",civic_effects; editorial_independence,accountability; editorial standards; political influence; guardrails,2,True
279175,176,5216844,Chris Ward,Legislator,"So it works for small independent and non profit outlets, not just large corporations. The bill is also carefully constructed with guardrails, transparency and ownership, limits on political influence, requirements for editorial standards and accountability. And this ensures that we are supporting local journalism without influencing content. With me to speak in support of the Community News Act are Matt Pierce, the legislative director of Rebuild Local News, and Bob Butler, the vice president of broadcast at SYK AFTRA.",AB 2222,169,287,True,substantive,3,And this ensures that we are supporting local journalism without influencing content.,local_news; journalists_reporters,local journalism; journalism,2,True
279175,176,5216844,Chris Ward,Legislator,"So it works for small independent and non profit outlets, not just large corporations. The bill is also carefully constructed with guardrails, transparency and ownership, limits on political influence, requirements for editorial standards and accountability. And this ensures that we are supporting local journalism without influencing content. With me to speak in support of the Community News Act are Matt Pierce, the legislative director of Rebuild Local News, and Bob Butler, the vice president of broadcast at SYK AFTRA.",AB 2222,169,287,True,substantive,4,"With me to speak in support of the Community News Act are Matt Pierce, the legislative director of Rebuild Local News, and Bob Butler, the vice president of broadcast at SYK AFTRA.",bill_reference; local_news,Community News Act; Local News; Community News,2,True
279175,177,5216845,Chris Ward,Legislator,"AV twenty two twenty two is ultimately a jobs bill and a democracy bill, helping to keep reporters in communities and ensuring that Californians have access to trusted local information. When the time is appropriate, I respectfully request your aye vote.",AB 2222,169,287,True,substantive,1,"AV twenty two twenty two is ultimately a jobs bill and a democracy bill, helping to keep reporters in communities and ensuring that Californians have access to trusted local information.",journalists_reporters; civic_effects; information_effects; employment_workforce,reporters; democracy; local information; jobs,4,True
279175,179,5216847,Unidentified Speaker,Person,"Thank you, chair Gibson, vice chair Sanchez, and esteemed committee members. I am the director of policy for Rebuild Local News, Matt Pierce. And we're the leading nonpartisan, nonprofit coalition developing effective public policies to strengthen community news and information. We are proud to join assembly member Ward in sponsoring AB 2002/22. The Community News Act should create a refundable tax spreads to support local journalist jobs and all sorts of community news organizations across California.",AB 2222,169,287,True,non_legislator,2,"I am the director of policy for Rebuild Local News, Matt Pierce.",local_news,Local News,1,True
